Establish,تاسیس کردن، ثبات بخشیدن
Ectasy,شعف و هیجان، خروج از ثبات (پیشوند E به معنای خروج است)
Resurrection ,رستاخیز
Surface,سطح
Surpass ,پیشی گرفتن، تجاوز کردن
Surplus,مازاد
Surge ,خیزش
Tangible,ملموس
Contagious,مسری از طریق تماس
Contingent ,محتمل و ممکن، قابل لمس- بسیار نزدیک
Contact,تماس
Intact ,دست نخورده
Intangible,ناملموس
Tenant ,مستاجر
tenable,جامع و قابل دفاع
Maintain ,حفظ کردن
Retain ,حفظ کردن
Continue,ادامه دادن
Gontinual ,مداوم
Contain ,در برداشتن ، شامل شدن
Sustain ,تحمل کردن، حفظ کردن،  ادامه دادن
Sustainable ,پایدار
Temporal,زمانی، گیجگاهی
Temporary,موقتی
Contemporary,هم دوره، هم عصر
Intend,تمایل داشتن
Intention,هدف
Attention,توجه
Intentionally,عمدا (با علاقه  و  اختیار انجام دادن)
Extent,محدوده
Extend,گسترش
Detention=De + Tention,محدود کردن، احتباس
De ,(این پیشوند نقش منفی کننده دارد)
Transaction,تبادل مالی
Transfer,انتقال اطلاعات
Transmit,انتقال انرژی و اطلاعات
Translate,ترجمه
Transport,انتقال اشیا، حمل و نقل
Transform,تغییر شکل
Transfusion ,انتقال مایعات
Transtive,ناپایدار
Attractive,دلکش، جذاب
Tractor ,کشنده، تراکتور
Abstract ,بیرون کشیدن. چکیده
Contraction,به‌طرف هم کشیدن، انقباض
Distract,به انحراف کشیدن، منحرف کردن (پیشوند ds‏ درابتدای کلمات حالت منفی ایجاد می کند)
Extract ,بیرون کشیدن، استخراج
Retract ,عقب کشیدن
Visa,"پاسپورت، يا روادید "
vis-a-vis ,چشم تو چشم
Visible,قابل روئیت
Vision,"بینش، بصیرت "
Envision,تجسم کردن
Visual,بینایی و بصری
visualize,تجسم کردن
invisible,غیرقابل روئیت
Evident,غیرقابل روئیت ، مشهود
provide,از قبل تدارک دیدن، فراهم کردن
provision,تدارک دیدن تأمین
Vital,حیاتی
Revitalize,حیات بخشیدن
Vitamin,مواد حیاتی
Revive,حیات بخشیدن
Survive,‏زنده مانده
Victim,قربانی
Victimize,قربانی کردن
victory,غلبه کردن، شکست دادن
Conviction,محکوم کردن
Convince,متقاعد کردن
Vincible ,آسیب پذیر
Vincibility,آسیب پذیری
Invincible  ,غیر قابل شکست
Invoke,استدعا و التماس کردن، برانگیختن ، باعث شدن"
Evoke,باعث به خاطر آوردن شدن، برانگیختن، احضار کردن
Provoke,تحریک کردن، باعث شدن
Vacant ,خالی و اشغال نشده
Vacancy ,پست شغلی خالی
Vacation ,تعطیلات (روز خالی از کار)
Vacuum ,خلا
Evacuate,تخلیه کردن
Equivalent,هم ارز، معادل، برابر
Valid  ,با ارزش و معتبر
Value,ارزش
Invaluable,بسیار با  ارزش
Evaluate ,ارزشیابی
Advent ,پیدایش
Adventure,ماجرا
Event,حادثه
Eventually,عاقبت (اتفاق افتادن)
Conventional,مرسوم، متداول
Intervention,مداخله و اقدام
Prevention,جلوگیری  از رخداد
Invention,اختراع
wreck,تخریب کردن
write,نوشتن
wrong,نادرست
wrap,پیچیدن
wrestle,کشتی گرفتن
wrinkle,چروک افتادن
antiwrinkle,داروهای ضد چروک
Abnormal,غیر طبیعی
irregular,غیر طبیعی
atypical,غیر طبیعی
unconventional ,غیر طبیعی
Abort,سقط کردن
terminate pregnancy,سقط کردن
Abscess,آبسه
boil,آبسه
Account for,مسئول چیزی بودن، باعث شدن
responsible for,مسئول چیزی بودن، باعث شدن
Accumulate,تجمع کردن
aggregate,تجمع کردن
collect,تجمع کردن
pile up,تجمع کردن
add up,تجمع کردن
Accuracy,دقت
Precision,دقت
Subtlety,دقت
Accurate,دقیق
Precise,دقیق
Subtle,دقیق
Accomplish,انجام دادن
Implement,انجام دادن
Perform,انجام دادن
Undertake,انجام دادن
carry out,انجام دادن
Acknowledge ,تایید کردن
approve,تایید کردن
affirm,تایید کردن
verify,تایید کردن
Adaptable,سازگار
compatible,سازگار
Additional,اضافی
extra,اضافی
further,اضافی
excess,اضافی
Adequacy,کفایت
sufficiency,کفایت
Adquate,کافی
sufficient,کافی
Advances,پیشرفت ها
developments,پیشرفت ها
Advocate,طرفداری کردن
support,طرفداری کردن
favor,طرفداری کردن
biased toward,طرفداری کردن
Affiity,نزدیکی،  وابستگی
relationship,نزدیکی،  وابستگی
rapport,نزدیکی،  وابستگی
Affluent,ثروتمند، مرفه
wealthy,ثروتمند، مرفه
well off,ثروتمند، مرفه
well to do,ثروتمند، مرفه
Allied,متحد و یکپارچه
unified,متحد و یکپارچه
united,متحد و یکپارچه
integrated,متحد و یکپارچه
Allied  to,مرتبط با
realated to,مرتبط با
connected with,مرتبط با
Allegede,ادعا شده، منسوب به
claimed,ادعا شده، منسوب به
Ambiguity,ابهام
vagueness,ابهام
Anecdotal,روایی، بدون سند
not necessarily reliable,روایی، بدون سند
Apatheric,بی علاقه و بی تفاوت
uninterested,بی علاقه و بی تفاوت
Application,کاربرد
indication,کاربرد
usage,کاربرد
Approach,شیوه و  رویکرد
method,شیوه و  رویکرد
procedure,شیوه و  رویکرد
technique,شیوه و  رویکرد
style,شیوه و  رویکرد
way,شیوه و  رویکرد
Manner,شیوه و  رویکرد
Abstain from,دوری کردن، عقب کشیدن از، اجتناب کردن
refrain from,دوری کردن، عقب کشیدن از، اجتناب کردن
withdraw from,دوری کردن، عقب کشیدن از، اجتناب کردن
avoid,دوری کردن، عقب کشیدن از، اجتناب کردن
Approximately,تقریبا
nearly,تقریبا
almost,تقریبا
roughly,تقریبا
virtually,تقریبا
Archive,آرشیو، سابقه
record,آرشیو، سابقه
Array,گروه
group,گروه
Artificial,ساختگی، مصنوعی
manufactured,ساختگی، مصنوعی
unatural,ساختگی، مصنوعی
fabricated,ساختگی، مصنوعی
synthetic,ساختگی، مصنوعی
As a result of,به واسطه
due to,به واسطه
Assimilate,یکی شدن، جذب کردن
absorb,یکی شدن، جذب کردن
Associated,مرتبط و مربوط
related,مرتبط و مربوط
connected,مرتبط و مربوط
linked,مرتبط و مربوط
Augment,افزایش
increase,افزایش
raise,افزایش
escalate,افزایش
maximize,افزایش
accelerate ,افزایش
Assumption,قاعده، فرضیه
hypothesis,قاعده، فرضیه
premise,قاعده، فرضیه
Attribute,ویژگی
characteristic,ویژگی
trait,ویژگی
feature,ویژگی
property,ویژگی
specification ,ویژگی
Awful,زشت و ترسناک
horrible,زشت و ترسناک
nasty,زشت و ترسناک
repugnant,زشت و ترسناک
Availability,دسترسی
accessibility,دسترسی
access,دسترسی
Awareness,آگاهی و هوشیاری
consciousness ,آگاهی و هوشیاری
alertness,آگاهی و هوشیاری
circumspection ,آگاهی و هوشیاری
Based on,براساس
on the basis,براساس
on the premise ,براساس
on the ground that,براساس
Beam,پرتو
ray,پرتو
jet,پرتو
Bout,حمله، شروع ناگهانی
Outburst,حمله، شروع ناگهانی
attack,حمله، شروع ناگهانی
Carcinogen,ماده شیمیایی سرطان زا
cancer,ماده شیمیایی سرطان زا
causing chemical,ماده شیمیایی سرطان زا
Cessation,توقف
block,توقف
decease,توقف
circumstances,شرایط، محیط
situations,شرایط، محیط
conditions,شرایط، محیط
environment,شرایط، محیط
surroundings,شرایط، محیط
status,شرایط، محیط
circumvent,دور زدن یک مشکل برای فرار از آن
get away with,دور زدن یک مشکل برای فرار از آن
combination,ترکیب
integration,ترکیب
blend,ترکیب
comparison,مقایسه
analogy,مقایسه
contrast,مقایسه
Complex,مجتمع (اسم)
building,مجتمع (اسم)
complexity,پیچیدگی
intricacy,پیچیدگی
complex,پیچیده (صفت)
intricate,پیچیده (صفت)
complicated,پیچیده (صفت)
elaborate,پیچیده (صفت)
sophisticated,پیچیده (صفت)
comprise of,شامل بودن، شدن
consist of,شامل بودن، شدن
Contain ,شامل بودن، شدن
include,شامل بودن، شدن
involve,شامل بودن، شدن
compromised,تضعیف شده
suppressed,تضعیف شده
weakened,تضعیف شده
creativity,نوآوری، خلاقیت
innovation,نوآوری، خلاقیت
conceal,مخفی کردن
disguise,مخفی کردن
concept,مفهوم
sense,مفهوم
notion,مفهوم
concurrently,به طور همزمان
simultaneously,به طور همزمان
at the same time,به طور همزمان
confirm,تایید کردن
approve,تایید کردن
confict,درگیری
strife,درگیری
conformity,هماهنگی و تطابق، همگونی و هم شکلی
congruence,هماهنگی و تطابق، همگونی و هم شکلی
homogeneity,هماهنگی و تطابق، همگونی و هم شکلی
consequence,نتیجه، پیامد، عواقب
result,نتیجه، پیامد، عواقب
outcome,نتیجه، پیامد، عواقب
conclusion,نتیجه، پیامد، عواقب
ramification,نتیجه، پیامد، عواقب
considering,با توجه به
with respect to,با توجه به
conserved,حفاظت شده
protected,حفاظت شده
consolidate,تحکیم و تقویت کردن
fasten,تحکیم و تقویت کردن
strengthen,تحکیم و تقویت کردن
solidity,تحکیم و تقویت کردن
reinforce,تحکیم و تقویت کردن
fortfy,تحکیم و تقویت کردن
constitute,تشکیل دادن
establish,تشکیل دادن
form,تشکیل دادن
constrained,محدود شده
limited,محدود شده
restricted,محدود شده
constricted,محدود شده
defined,محدود شده
enclosed,محدود شده
Consultation ,مشورت
negotiation ,مشورت
mentoring,مشورت
consumption,مصرف
use up,مصرف
containment,مهار
prevention,مهار
control,مهار
contaminate,عقونی کردن
infect,عقونی کردن
contemplation,تفکر و بررسی
thinking ,تفکر و بررسی
meditation ,تفکر و بررسی
reflection,تفکر و بررسی
conted,دست و پنجه نرم کردن، ادعا کردن
claimed,دست و پنجه نرم کردن، ادعا کردن
deal with,دست و پنجه نرم کردن، ادعا کردن
contents,محتویات، اجزا
ingredients,محتویات، اجزا
elements,محتویات، اجزا
contest,مسابقه و رقابت
rivairy,مسابقه و رقابت
competition,مسابقه و رقابت
context,زمینه، متن
background,زمینه، متن
texture,زمینه، متن
Contingent ,محتمل، قریب  الو قوع
possible,محتمل، قریب  الو قوع
immient,محتمل، قریب  الو قوع
contradiction,تضاد و تقابل
contrast,تضاد و تقابل
opposition,تضاد و تقابل
contrasty to,برخلاف
unlike,برخلاف
in contrast to,برخلاف
as opposed to,برخلاف
contribute to,نقش داشتن در، مشارکت کردن در
have a role in,نقش داشتن در، مشارکت کردن در
incorporate,نقش داشتن در، مشارکت کردن در
participate,نقش داشتن در، مشارکت کردن در
contribution,نقش و مشارکت
role,نقش و مشارکت
contrive,طرح و نقشه ریختن
plan,طرح و نقشه ریختن
fabricate,طرح و نقشه ریختن
plot,طرح و نقشه ریختن
devise,طرح و نقشه ریختن
design,طرح و نقشه ریختن
controversial,بحث برانگیز
Disputable ,بحث برانگیز
debatable,بحث برانگیز
open to discussion & uestion,بحث برانگیز
arguable,بحث برانگیز
convalescent,بهبودی و شفا
recuperation,بهبودی و شفا
recovery,بهبودی و شفا
rehabilitation,بهبودی و شفا
convenience,راحتی
relief,راحتی
tranquility,راحتی
comfort,راحتی
conventional,معمول و مرسوم
orthodox,معمول و مرسوم
normal,معمول و مرسوم
usual,معمول و مرسوم
convert,تبدیل کردن و تغییر دادن
change,تبدیل کردن و تغییر دادن
convertible,قابل تبدیل و تغییر
changeable,قابل تبدیل و تغییر
variable,قابل تبدیل و تغییر
convey,منتقل کردن (معنا و مفهوم)
transfer,منتقل کردن (معنا و مفهوم)
copious,فراوان
abundant,فراوان
plentiful,فراوان
extensive,فراوان
Numerous,فراوان
corpulent,چاق
plump,چاق
overweight,چاق
chubby,چاق
obese ,چاق
correspond with,تطابق داشتن با
conform to,تطابق داشتن با
to be in harmony with,تطابق داشتن با
corrode,فاسد شدن
decay,فاسد شدن
corroded,(پوسیدگی دندان)
rotten,(پوسیدگی دندان)
carious,(پوسیدگی دندان)
decated,(پوسیدگی دندان)
cosmic,جهانی
universal ,جهانی
global,جهانی
cosmetic,محصولات زیبایی
beauty,محصولات زیبایی
products,محصولات زیبایی
contradict,در تضاد بودن
oppose,در تضاد بودن
contrast,در تضاد بودن
couteract,خنثی کردن، اثر متقابل
neutralize,خنثی کردن، اثر متقابل
contraction,انقباض، تنگی
constriction,انقباض، تنگی
shrinking,انقباض، تنگی
cramp,گرفتگی عضلانی
muscle,گرفتگی عضلانی
musclelar spasm,گرفتگی عضلانی
crave,اشتیاق و تمایل
desire,اشتیاق و تمایل
wish aspire,اشتیاق و تمایل
willing,اشتیاق و تمایل
enthusiasm,اشتیاق و تمایل
critical of,منتقد موضوعی بودن
disapprove of,منتقد موضوعی بودن
dissatisified with,منتقد موضوعی بودن
criticizing,منتقد موضوعی بودن
objective about,منتقد موضوعی بودن
critical thinking,تفکر انتقادی
objective analysis,تفکر انتقادی
crucial,تفکر انتقادی
essential,تفکر انتقادی
vital,تفکر انتقادی
critical,تفکر انتقادی
necessary,تفکر انتقادی
indispensable,تفکر انتقادی
urgent,تفکر انتقادی
inevitable,تفکر انتقادی
cruelty,بی رحمی
inhumanity,بی رحمی
brutality,بی رحمی
crux,قسمت و نکته مهم
essence,قسمت و نکته مهم
central point,قسمت و نکته مهم
main point,قسمت و نکته مهم
core,قسمت و نکته مهم
cull,جمع آوری و از بین بردن
collect & remove,جمع آوری و از بین بردن
cultivation,کشت( میکرو ارگانیسم ها د رمحیط آزمایشگاهی)
culture,کشت( میکرو ارگانیسم ها د رمحیط آزمایشگاهی)
curative,درمانی
healing,درمانی
therapeutic,درمانی
medicinal,درمانی
remedial,درمانی
corrective,درمانی
restorative,درمانی
tonic,درمانی
curiosity,کنجکاوی
interest,کنجکاوی
currently,اخیرا
recently,اخیرا
cut down,کاهش دادن
reduce,کاهش دادن
dawn,شفق، طلوع، شروع
sunrise,شفق، طلوع، شروع
initiation,شفق، طلوع، شروع
debilitate,ناتوان سازی، تضعیف کردن
enervate,ناتوان سازی، تضعیف کردن
make impotent,ناتوان سازی، تضعیف کردن
make inefficient ,ناتوان سازی، تضعیف کردن
Debrief ,مورد پرسش قرار دادن
enquire,مورد پرسش قرار دادن
question,مورد پرسش قرار دادن
deceive,گول زدن، فریب دادن
mislead,گول زدن، فریب دادن
deceleration,کاهش
reduction ,کاهش
mitigation,کاهش
decline,کاهش
decrease ,کاهش
abatement,کاهش
decency,احترام و شایستگی
respect,احترام و شایستگی
dignity,احترام و شایستگی
deceptive,فریبنده و گمراه کننده
misleading,فریبنده و گمراه کننده
illusionary,فریبنده و گمراه کننده
illusive,فریبنده و گمراه کننده
fraudulent,فریبنده و گمراه کننده
treacherous,فریبنده و گمراه کننده
dishonest,فریبنده و گمراه کننده
declare,آشکارا بیان کردن
announce,آشکارا بیان کردن
publicize,آشکارا بیان کردن
broadcast,آشکارا بیان کردن
decoding,رمزیابی کردن
decrypting,رمزیابی کردن
deciphering,رمزیابی کردن
dedicated,وفادار، پایبند
committed,وفادار، پایبند
devoted,وفادار، پایبند
loyal,وفادار، پایبند
fauthful,وفادار، پایبند
defame,بدنام کردن
discredit,بدنام کردن
degrade,بدنام کردن
defect,نقص و کمبود، بدشکلی
deficiency,نقص و کمبود، بدشکلی
drawback,نقص و کمبود، بدشکلی
defective,ناقص
incomplate,ناقص
imperfect,ناقص
definitely,قطعا
absolutely,قطعا
certainly,قطعا
surely,قطعا
unquestionably,قطعا
without doubt,قطعا
without question,قطعا
undoubtedly,قطعا
undeniably,قطعا
deformity,بدشکلی، نقص
malformation,بدشکلی، نقص
distortion,بدشکلی، نقص
abnormality,بدشکلی، نقص
disfigurement,بدشکلی، نقص
defect,بدشکلی، نقص
defuse,خنثی کردن، فیوز چیزی را خنثی کردن
deactivate,خنثی کردن، فیوز چیزی را خنثی کردن
disarm,خنثی کردن، فیوز چیزی را خنثی کردن
disable,خنثی کردن، فیوز چیزی را خنثی کردن
neutralize,خنثی کردن، فیوز چیزی را خنثی کردن
degenerative,مخرب
deteriorating,مخرب
Aggressive ,مخرب
devastating,مخرب
destructive,مخرب
delay,به تاخیر و تعویق انداختن
postpone,به تاخیر و تعویق انداختن
put off,به تاخیر و تعویق انداختن
prolong,به تاخیر و تعویق انداختن
deleterious,مضر، آسیب رسان، بد
harmful,مضر، آسیب رسان، بد
damaging,مضر، آسیب رسان، بد
detrimental,مضر، آسیب رسان، بد
adverse,مضر، آسیب رسان، بد
unfavorable,مضر، آسیب رسان، بد
undesirable,مضر، آسیب رسان، بد
deliberate,عمدی
Intentionally,عمدی
puposeful,عمدی
advertrnt,عمدی
delighful,لذت بخش
enjoyable,لذت بخش
pleasurable,لذت بخش
pleasant,لذت بخش
delinquency,تخلف و بزهکاری
crime,تخلف و بزهکاری
misconduct,تخلف و بزهکاری
misbehavior,تخلف و بزهکاری
offense,تخلف و بزهکاری
misdeed,تخلف و بزهکاری
violation,تخلف و بزهکاری
delve,سوراخ کردن
puncture,سوراخ کردن
pierce,سوراخ کردن
perforate,سوراخ کردن
dignity,سوراخ کردن
make hole,سوراخ کردن
dementia,زوال عقل
mental decline,زوال عقل
insanity,زوال عقل
demotivating,دلسرد کننده و بی انگیزه کرد
depresing,دلسرد کننده و بی انگیزه کرد
dispiriting,دلسرد کننده و بی انگیزه کرد
disappointing,دلسرد کننده و بی انگیزه کرد
density,تراکم
tickness,تراکم
departed from,ترک کردن کسی یا چیزی
leave,ترک کردن کسی یا چیزی
abandon,ترک کردن کسی یا چیزی
depletion,حذف و تخلیه
elimination,حذف و تخلیه
deletion,حذف و تخلیه
eradication,حذف و تخلیه
omission,حذف و تخلیه
depreciate,بی ارزش کردن
degrade,بی ارزش کردن
devaluate,بی ارزش کردن
deprived of,محروم از
impoverished of,محروم از
derived from,مشتق شدن از
stem from,مشتق شدن از
originate from,مشتق شدن از
despite,علی رغم
in spite of,علی رغم
destructive,مخرب
devastating,مخرب
disastrous,مخرب
catastrophic,مخرب
ruining,مخرب
detection,بررسی و رد یابی
inspection,بررسی و رد یابی
search,بررسی و رد یابی
examination,بررسی و رد یابی
deteriorate,بدتر کردن
worsen,بدتر کردن
exacerbate,بدتر کردن
degenerate,بدتر کردن
aggravate,بدتر کردن
determination,تصمیم
descision,تصمیم
intention,تصمیم
resolution,تصمیم
dexterity,مهارت
talent,مهارت
skill,مهارت
mastery,مهارت
dictatorial,زورگویانه
undemocratic,زورگویانه
authoritarian,زورگویانه
differentiate,تمایز یا تفاوت قائل شدن
distinguish,تمایز یا تفاوت قائل شدن
discriminate,تمایز یا تفاوت قائل شدن
make/ draw a distinction,تمایز یا تفاوت قائل شدن
dilation,اتساع، گشاد شدن
widening,اتساع، گشاد شدن
directions,دستورالعمل، مسیر
guidelines,دستورالعمل، مسیر
disappointed,درمانده
frustrated,درمانده
hapless,درمانده
disapprove,مخالفت کردن، رد کردن
frown on,مخالفت کردن، رد کردن
be against,مخالفت کردن، رد کردن
criticize,مخالفت کردن، رد کردن
reject,مخالفت کردن، رد کردن
discernible,قابل تشخیص
detectable,قابل تشخیص
distinguishable,قابل تشخیص
discount,کاهش دادن
reduce,کاهش دادن
decrease ,کاهش دادن
lessen,کاهش دادن
diminish,کاهش دادن
mitigate,کاهش دادن
abate,کاهش دادن
discouraging,ناامید کننده
disappointing,ناامید کننده
discovery,کشف کردن
disclose,کشف کردن
explore,کشف کردن
discrete,مجزا و مشخص
seprate,مجزا و مشخص
disgust,تنفر
hate,تنفر
repugnance,تنفر
dislocation,جابه جا شدن، دررفتگی
disjointing,جابه جا شدن، دررفتگی
sprain,جابه جا شدن، دررفتگی
disorder,اختلال، بیماری ،مشکل
condition,اختلال، بیماری ،مشکل
illness,اختلال، بیماری ،مشکل
disease,اختلال، بیماری ،مشکل
disorientation,سردرگمی، گیجی
confusion,سردرگمی، گیجی
disposition,حالت، چهره
complexion,حالت، چهره
appearance,حالت، چهره
disprpportionate,نامتناسب
mismatch,نامتناسب
inharmonious,نامتناسب
asymmetric,نامتناسب
disseminate,منتشر کردن/شدن،  پخش کردن/ شدن
dissipate,منتشر کردن/شدن،  پخش کردن/ شدن
circulate,منتشر کردن/شدن،  پخش کردن/ شدن
spread,منتشر کردن/شدن،  پخش کردن/ شدن
distribute,منتشر کردن/شدن،  پخش کردن/ شدن
disperse,منتشر کردن/شدن،  پخش کردن/ شدن
diffuse,منتشر کردن/شدن،  پخش کردن/ شدن
dissolve,منحل کردن، آب شدن و محو شدن
disintegrate,منحل کردن، آب شدن و محو شدن
dismiss,منحل کردن، آب شدن و محو شدن
melt away,منحل کردن، آب شدن و محو شدن
dissuade,منصرف کردن
discourage from,منصرف کردن
deter from,منصرف کردن
prevent from,منصرف کردن
distant,دور
far,دور
distend,متورم شدن
swell,متورم شدن
distinction,تشخیص و تمایز بین دو موضوع
diffrence,تشخیص و تمایز بین دو موضوع
dissimilarity,تشخیص و تمایز بین دو موضوع
distintively,متمایز، به طور مجزا
diffrently,متمایز، به طور مجزا
distinguish,تشخیص و تمایز بین دو موضوع
diferentiate,تشخیص و تمایز بین دو موضوع
discriminate,تشخیص و تمایز بین دو موضوع
distort,تحریف کردن، از شکل انداختن
deform,تحریف کردن، از شکل انداختن
distress,تشویق و اضطراب
turmoil,تشویق و اضطراب
agitation,تشویق و اضطراب
stress,تشویق و اضطراب
anxiety,تشویق و اضطراب
divert,منحرف شدن/ کردن
distract,منحرف شدن/ کردن
dizzy,سرگیجه
vertigo,سرگیجه
degestive disorders,بیماری های دستگاه گوارش
gastrointestinal diseases,بیماری های دستگاه گوارش
docile,رام و خفیف و آرام
obedient,رام و خفیف و آرام
benign,رام و خفیف و آرام
submissive,رام و خفیف و آرام
moderate,رام و خفیف و آرام
domestic,بومی
native,بومی
indigenous,بومی
dominant,برتر و غالب
predominant,برتر و غالب
prevailing,برتر و غالب
ruling,برتر و غالب
governing,برتر و غالب
domination,برتری، غلبه
superiority,برتری، غلبه
predominance,برتری، غلبه
donation,اهدا
dedication,اهدا
grant,اهدا
drastically,شدیدا
severely,شدیدا
intensely,شدیدا
violently,شدیدا
intensively,شدیدا
vigorously,شدیدا
extremely,شدیدا
highly,شدیدا
drawback,نقص و کمبود
defect,نقص و کمبود
dubious,مشکوک، نامطمئن
tentative ,مشکوک، نامطمئن
uncertain,مشکوک، نامطمئن
suspicious,مشکوک، نامطمئن
unreliable,مشکوک، نامطمئن
questionable,مشکوک، نامطمئن
duty,وظیفه و کار و عملکرد
task,وظیفه و کار و عملکرد
function,وظیفه و کار و عملکرد
role,وظیفه و کار و عملکرد
work,وظیفه و کار و عملکرد
dynamic,پویا و فعال
active ,پویا و فعال
robust,پویا و فعال
